VERKOOPPUNT;LON;LAT;GEBIED;VKP_BEGIN;VKP_EIND;GEB_BEGIN;GEB_EIND;VKP_DOMEIN;GEB_DOMEIN;VKP_OMS;GEBR_DOEL_GEB
97500;6.603885131;53.17287864;Centrum;01/01/2014;NULL;16/03/2012;NULL;17;17;NULL;BETAALDP
36010;5.22005973;52.371709239;ALMSTAD;01/11/2016;NULL;06/03/2012;NULL;34;34;NULL;BETAALDP
36011;5.216807437;52.370591456;ALMTEGELZ;01/11/2016;NULL;06/03/2012;NULL;34;34;'Administratief verkooppunt alleen voor bezoekersregeling';BETAALDP
36011;5.219442136;52.372095396;ALMSTAD;01/11/2016;NULL;06/03/2012;NULL;34;34;'Administratief verkooppunt alleen voor bezoekersregeling';BETAALDP
36020;5.216841666;52.370475398;ALMTEGELZ;01/11/2016;NULL;06/03/2012;NULL;34;34;NULL;BETAALDP
36030;5.276760455;52.394400255;ALMBUITEN;01/11/2016;NULL;06/03/2012;NULL;34;34;NULL;BETAALDP
36031;5.276686253;52.39433479;ALMBUITEN;01/11/2016;NULL;06/03/2012;NULL;34;34;'Administratief verkooppunt alleen voor bezoekersregeling';BETAALDP
9950;5.998003848;53.327316098;9950;01/01/2014;31/12/2099;25/06/2014;NULL;58;58;'Markt';BETAALDP
9950;5.997859431;53.327314749;9950;01/01/2014;31/12/2099;25/06/2014;NULL;58;58;'Markt';BETAALDP
9951;6.001097736;53.327161245;9951;01/01/2014;31/12/2099;26/06/2014;NULL;58;58;'Oostersingel';BETAALDP
9951;6.00125089;53.3266492;9951;01/01/2014;31/12/2099;26/06/2014;NULL;58;58;'Oostersingel';BETAALDP
9952;5.998907988;53.324559464;9952;01/01/2014;31/12/2099;26/06/2014;NULL;58;58;'Keppelstraat';BETAALDP
9954;5.99966505;53.323789489;9954;01/01/2014;31/12/2099;26/06/2014;NULL;58;58;'Zuiderbolwerk';BETAALDP
9960;5.99603388;53.32608994;9960;01/01/2014;31/12/2099;25/06/2014;NULL;58;58;'Legeweg';BETAALDP
9961;5.995816009;53.326673035;9960;01/01/2014;31/12/2099;25/06/2014;NULL;58;58;'Hogepol';BETAALDP
9962;5.996334321;53.327104605;9960;01/01/2014;31/12/2099;25/06/2014;NULL;58;58;'Achterom';BETAALDP
9963;5.998909626;53.327872912;9963;01/01/2014;31/12/2099;26/06/2014;NULL;58;58;'Oranjewal';BETAALDP
9964;6.000488201;53.328206053;9964;01/01/2014;31/12/2099;26/06/2014;NULL;58;58;'Aalsumerpoort';BETAALDP
9965;5.999890606;53.325198249;9965;01/01/2014;31/12/2099;26/06/2014;NULL;58;58;'Diepswal';BETAALDP
9966;5.99746791;53.324908591;9966;01/01/2014;31/12/2099;26/06/2014;NULL;58;58;'Vleesmarkt';BETAALDP
9970;6.000702518;53.326114829;9971;01/01/2014;31/12/2099;26/06/2014;NULL;58;58;'Kleine Oosterstraat';BETAALDP
9971;5.999742279;53.32599308;9971;01/01/2014;31/12/2099;26/06/2014;NULL;58;58;'Kleine Breedstraat';BETAALDP
9972;5.998577248;53.324852848;9972;01/01/2014;31/12/2099;26/06/2014;NULL;58;58;'De Dijk';BETAALDP
9973;5.997174856;53.325744025;9973;01/01/2014;31/12/2099;26/06/2014;NULL;58;58;'Koningstraat';BETAALDP
8750;5.41800036;53.179261957;Vissershvn;01/01/2018;NULL;01/01/2018;NULL;72;72;NULL;BETAALDP
8751;5.418143083;53.179278582;Camperpark;01/01/2018;NULL;08/02/2012;NULL;72;72;NULL;BETAALDP
8752;5.413737702;53.176283541;Waddenpro;01/01/2018;NULL;08/02/2012;NULL;72;72;NULL;BETAALDP
8752;5.414751195;53.176781699;Waddenpro;01/01/2018;NULL;08/02/2012;NULL;72;72;NULL;BETAALDP
8753;5.420059153;53.173440606;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.423632147;53.173337539;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.419629706;53.172178034;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.419234616;53.175510538;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.415172053;53.173612385;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.412938932;53.1719719;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.41839351;53.17696606;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.421768349;53.173165761;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.422781843;53.176043051;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.419423572;53.173861464;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.413385556;53.174333855;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.420081065;53.176782976;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.41912296;53.171843066;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.414699662;53.174857779;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.418161;53.172349812;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.419253208;53.17601084;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.41920026;53.172779259;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.414974507;53.175527716;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.415859167;53.174067598;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.414931563;53.17116454;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.418332778;53.171602576;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.415909938;53.176655613;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.420153631;53.172787848;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.423151167;53.174411155;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.417233395;53.17349214;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.416100982;53.175859597;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.412741386;53.174840602;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.414974507;53.172624658;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.422110908;53.177029741;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.419097193;53.171679876;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.421433381;53.174187843;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.421261603;53.175510538;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.416623582;53.172744903;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.417501971;53.175915318;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.421450559;53.175802561;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.417911921;53.173955942;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.416984316;53.175501949;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.414089848;53.174205021;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.422919266;53.174308088;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.418255478;53.173414839;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.411607648;53.17405042;Binnenstad;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8753;5.415549966;53.17068356;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8754;5.419346272;53.174763301;Voorstraat;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8754;5.416563459;53.174952258;Voorstraat;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8754;5.417654253;53.174978024;Voorstraat;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8755;5.411607648;53.172401346;Willemshvn;01/01/2018;NULL;01/01/2018;NULL;72;72;NULL;BETAALDP
8755;5.415361009;53.169592767;Willemshvn;01/01/2018;NULL;01/01/2018;NULL;72;72;NULL;BETAALDP
8755;5.413162244;53.171113007;Willemshvn;01/01/2018;NULL;01/01/2018;NULL;72;72;NULL;BETAALDP
8760;5.427866488;53.160299547;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.427393985;53.168038122;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.426672627;53.174582934;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.427437042;53.159852923;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.423108222;53.166801365;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.433758492;53.163305671;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.423145782;53.169820054;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.425710667;53.177966971;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.427153607;53.169695834;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.425891035;53.171868832;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.441454172;53.159492188;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.436173681;53.176036789;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.438850512;53.168907447;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.425152387;53.171198896;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.427299619;53.162275;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.43065789;53.179392733;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.42464564;53.173792752;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.437056641;53.159303231;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.428206923;53.174347604;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.438156024;53.159543721;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.427729065;53.165968239;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8760;5.423872637;53.176910533;Vignet;01/01/2018;NULL;01/01/2016;NULL;72;72;NULL;BETAALDP
8763;5.418693365;53.170849152;Spoorstr;01/01/2018;NULL;01/01/2015;NULL;72;72;NULL;BETAALDP
8764;5.423657323;53.170589598;Station;01/01/2018;NULL;01/01/2015;NULL;72;72;NULL;BETAALDP
